date,tool,client_name,calls,avg_latency_ms
2026-09-14,ask,smoke-test,4,134
2026-09-14,identify_user_agent,smoke-test,8,109
2026-09-14,identify_user_agent,unknown,1,115
2026-09-14,list_changes,smoke-test,8,129
2026-09-14,lookup_crawler,smoke-test,14,159
2026-09-14,submit_note,smoke-test,8,378
2026-09-15,ask,unknown,4,187
2026-09-15,list_changes,unknown,3,171
2026-09-17,ask,smoke-test,8,81
2026-09-17,identify_user_agent,smoke-test,16,165
2026-09-17,list_changes,smoke-test,16,167
2026-09-17,lookup_crawler,smoke-test,25,468
2026-09-17,submit_note,smoke-test,20,255
2026-09-18,ask,smoke-test,2,85
2026-09-18,identify_user_agent,smoke-test,4,142
2026-09-18,list_changes,smoke-test,4,179
2026-09-18,lookup_crawler,smoke-test,6,802
2026-09-18,submit_note,smoke-test,4,230
