id,entity_id,slug,field,value,statement,evidence_url,evidence_quote,method,verified_at,confidence,status,supersedes_id,evidence_date,created_at,updated_at
1,15,applebot-extended/respects_robots_txt,respects_robots_txt,n/a,Applebot-Extended is a robots.txt token that publishers disallow to opt out of generative model training.,https://support.apple.com/en-us/119829,"""Web publishers can opt-out from having their content used to train generative foundation models by disallowing Applebot-Extended in the robots.txt file.""",vendor_doc,2026-09-13,high,current,,2026-09-04,2026-09-14T00:15:09Z,2026-09-14T00:15:09Z
2,15,applebot-extended/honours_crawl_delay,honours_crawl_delay,n/a,Apple does not publish a Crawl-delay behaviour for Applebot-Extended.,https://support.apple.com/en-us/119829,,vendor_doc,2026-09-13,,current,,2026-09-04,2026-09-14T00:15:09Z,2026-09-14T00:15:09Z
3,15,applebot-extended/publishes_ip_list,publishes_ip_list,no,Apple publishes no IP list specific to Applebot-Extended and documents one shared crawl identity for Applebot.,https://support.apple.com/en-us/119829,"""Traffic coming from Applebot is generally identified by using reverse DNS in the *.applebot.apple.com domain""",vendor_doc,2026-09-13,medium,current,,2026-09-04,2026-09-14T00:15:09Z,2026-09-14T00:15:09Z
4,15,applebot-extended/verifiable_by_rdns,verifiable_by_rdns,n/a,Apple does not publish a reverse-DNS verification method specific to Applebot-Extended.,https://support.apple.com/en-us/119829,,vendor_doc,2026-09-13,,current,,2026-09-04,2026-09-14T00:15:09Z,2026-09-14T00:15:09Z
5,15,applebot-extended/purpose_documented,purpose_documented,policy_only,Applebot-Extended controls whether website content is used to train Apple general purpose foundation models.,https://support.apple.com/en-us/119829,"""opt out of their website content being used to train Apple's general purpose foundation models powering generative AI features""",vendor_doc,2026-09-13,high,current,,2026-09-04,2026-09-14T00:15:09Z,2026-09-14T00:15:09Z
6,15,applebot-extended/separate_search_and_training_tokens,separate_search_and_training_tokens,yes,Webpages that disallow Applebot-Extended remain eligible for inclusion in Apple search results.,https://support.apple.com/en-us/119829,"""Webpages that disallow Applebot-Extended can still be included in search results.""",vendor_doc,2026-09-13,high,current,,2026-09-04,2026-09-14T00:15:09Z,2026-09-14T00:15:09Z
7,15,applebot-extended/what_it_controls,what_it_controls,"AI training use of content, not search indexing",Applebot-Extended controls the AI training use of crawled content and does not control search indexing.,https://support.apple.com/en-us/119829,"""Web publishers can opt-out from having their content used to train generative foundation models by disallowing Applebot-Extended in the robots.txt file. Applebot crawled data may be used to provide additional context and up-to-date content when AI models are used to generate output ...""",vendor_doc,2026-09-13,high,current,,2026-09-04,2026-09-14T00:15:09Z,2026-09-14T00:15:09Z
8,15,applebot-extended/robots_token_differs_from_ua,robots_token_differs_from_ua,yes,Applebot-Extended is a robots.txt control token and does not correspond to a separate crawler user agent string.,https://support.apple.com/en-us/119829,,vendor_doc,2026-09-13,medium,current,,2026-09-04,2026-09-14T00:15:09Z,2026-09-14T00:15:09Z
9,14,applebot/respects_robots_txt,respects_robots_txt,yes,Applebot respects standard robots.txt directives targeted at Applebot in general search crawls.,https://support.apple.com/en-us/119829,"""Applebot respects standard robots.txt directives in general search crawls that are targeted at Applebot.""",vendor_doc,2026-09-13,high,current,,2026-09-04,2026-09-14T00:15:09Z,2026-09-14T00:15:09Z
10,14,applebot/honours_crawl_delay,honours_crawl_delay,no,Applebot does not follow the robots.txt Crawl-delay directive.,https://support.apple.com/en-us/119829,"""Applebot does not follow crawl-delay. Applebot is engineered for efficiency and will adjust to minimize the impact on site owners.""",vendor_doc,2026-09-13,high,current,,2026-09-04,2026-09-14T00:15:09Z,2026-09-14T00:15:09Z
11,14,applebot/publishes_ip_list,publishes_ip_list,yes,Apple publishes the IP address CIDR ranges used by Applebot as a JSON file at https://search.developer.apple.com/applebot.json.,https://search.developer.apple.com/applebot.json,"""Another way is to match the IP address with a CIDR prefix contained in the following JSON file: Applebot IP CIDRs.""",vendor_doc,2026-09-13,high,current,,2026-07-31,2026-09-14T00:15:09Z,2026-09-14T00:15:09Z
