id,date,entity_id,requests,paths,formats,verified_share,verified_requests
1,2026-09-13,1,1,"[""/crawlers/gptbot""]","[""html""]",0,0
2,2026-09-13,2,1,"[""/robots.txt""]","[""txt""]",1,1
3,2026-09-13,5,1,"[""/crawlers/claudebot""]","[""html""]",0,0
10,2026-09-14,1,3,"[""/""]","[""html""]",0,0
11,2026-09-14,2,2,"[""/robots.txt""]","[""txt""]",1,2
12,2026-09-14,5,535,"[""/"",""/robots.txt"",""/sitemap.xml"",""/method"",""/changes"",""/data"",""/data/latest"",""/observed"",""/questions"",""/observed/perplexitybot"",""/observed/googlebot"",""/claims"",""/observed/perplexity-user"",""/observed/applebot"",""/crawlers"",""/observed/bingbot"",""/claims/116"",""/crawlers/perplexitybot"",""/claims/2"",""/observed/googleother"",""/crawlers/googlebot"",""/claims/39"",""/observed/gptbot"",""/claims/97"",""/claims/3"",""/claims/4"",""/claims/32"",""/claims/7"",""/claims/71"",""/observed/google-extended"",""/claims/83"",""/claims/5"",""/claims/76"",""/claims/89"",""/claims/8"",""/claims/91"",""/claims/73"",""/claims/33"",""/claims/46"",""/claims/63"",""/claims/72"",""/claims/85"",""/claims/45"",""/claims/44"",""/claims/41"",""/claims/52"",""/claims/87"",""/claims/69"",""/claims/40"",""/claims/79"",""/claims/6"",""/claims/35"",""/claims/95"",""/claims/64"",""/claims/86"",""/claims/80"",""/claims/22"",""/claims/82"",""/claims/9"",""/crawlers/perplexity-user"",""/claims/74"",""/claims/53"",""/claims/28"",""/claims/67"",""/claims/129"",""/claims/75"",""/claims/90"",""/claims/48"",""/claims/92"",""/claims/29"",""/claims/98"",""/claims/124"",""/claims/49"",""/claims/77"",""/claims/65"",""/claims/1"",""/claims/84"",""/claims/30"",""/claims/37"",""/claims/47"",""/claims/96"",""/claims/68"",""/claims/36"",""/claims/58"",""/claims/70"",""/claims/59"",""/claims/16"",""/claims/60"",""/claims/23"",""/claims/34"",""/claims/112"",""/claims/21"",""/claims/38"",""/claims/56"",""/claims/78"",""/claims/10"",""/claims/13"",""/claims/43"",""/claims/19"",""/claims/18""]","[""html"",""txt"",""xml"",""json"",""md"",""csv""]",0.9981308411214953,534
13,2026-09-14,10,79,"[""/robots.txt"",""/favicon.ico"",""/"",""/crawlers/google-extended"",""/crawlers/applebot"",""/crawlers/claudebot"",""/changes"",""/sitemap.xml"",""/crawlers"",""/claims"",""/claims/12"",""/observed"",""/claims/88"",""/data"",""/method"",""/claims/47"",""/claims/48"",""/claims/52"",""/claims/61"",""/claims/54"",""/claims/53"",""/claims/14"",""/claims/82"",""/claims/78"",""/claims/55"",""/claims/59"",""/crawlers/googlebot"",""/crawlers/claude-user"",""/crawlers/googleother"",""/crawlers/chatgpt-user"",""/claims/108"",""/crawlers/oai-searchbot"",""/crawlers/claude-searchbot"",""/crawlers/perplexity-user"",""/crawlers/applebot-extended"",""/claims/103"",""/crawlers/oai-adsbot"",""/claims/107"",""/observed/oai-searchbot"",""/crawlers/perplexitybot"",""/observed/gptbot"",""/claims/83"",""/claims/105""]","[""txt"",""html"",""xml""]",0.9873417721518988,78
14,2026-09-14,11,76,"[""/"",""/crawlers/claude-user"",""/crawlers/perplexity-user"",""/crawlers/applebot-extended"",""/mcp"",""/crawlers/oai-adsbot"",""/crawlers/google-extended"",""/crawlers/claudebot"",""/crawlers/perplexitybot"",""/crawlers/applebot"",""/crawlers/bingbot"",""/changes"",""/crawlers/googlebot"",""/crawlers"",""/claims/57"",""/crawlers/claude-searchbot"",""/claims"",""/claims/12"",""/crawlers/chatgpt-user"",""/claims/88"",""/crawlers/googleother"",""/observed"",""/crawlers/gptbot"",""/claims/50"",""/claims/54"",""/claims/129"",""/data"",""/claims/53"",""/claims/61"",""/method"",""/claims/47"",""/claims/48"",""/claims/56"",""/claims/49"",""/claims/52"",""/questions"",""/crawlers/oai-searchbot"",""/claims/58"",""/claims/14"",""/claims/82"",""/changes.xml"",""/claims/78"",""/claims/55"",""/claims/59"",""/data/latest/observation_daily.json"",""/claims/126"",""/claims/108"",""/claims/106"",""/observed/claudebot"",""/claims/103"",""/observed/gptbot"",""/observed/oai-searchbot"",""/claims/107"",""/claims/27"",""/claims/122"",""/claims/84"",""/claims/124"",""/claims/80"",""/claims/21"",""/claims/83"",""/claims/111"",""/data/latest/notes.json"",""/claims/105"",""/claims/36"",""/claims/127""]","[""html"",""json"",""xml""]",1,76
15,2026-09-14,14,6,"[""/robots.txt"",""/""]","[""txt"",""html""]",1,6
16,2026-09-15,5,24,"[""/robots.txt"",""/sitemap.xml""]","[""txt"",""xml""]",1,24
