id,claim_id,entity_id,changed_at,kind,old_value,new_value,evidence_url,note
1,1,15,2026-09-13T00:00:00Z,new,,n/a,https://support.apple.com/en-us/119829,P0.3 seed batch
2,2,15,2026-09-13T00:00:00Z,new,,n/a,https://support.apple.com/en-us/119829,P0.3 seed batch
3,3,15,2026-09-13T00:00:00Z,new,,no,https://support.apple.com/en-us/119829,P0.3 seed batch
4,4,15,2026-09-13T00:00:00Z,new,,n/a,https://support.apple.com/en-us/119829,P0.3 seed batch
5,5,15,2026-09-13T00:00:00Z,new,,policy_only,https://support.apple.com/en-us/119829,P0.3 seed batch
6,6,15,2026-09-13T00:00:00Z,new,,yes,https://support.apple.com/en-us/119829,P0.3 seed batch
7,7,15,2026-09-13T00:00:00Z,new,,"AI training use of content, not search indexing",https://support.apple.com/en-us/119829,P0.3 seed batch
8,8,15,2026-09-13T00:00:00Z,new,,yes,https://support.apple.com/en-us/119829,P0.3 seed batch
9,9,14,2026-09-13T00:00:00Z,new,,yes,https://support.apple.com/en-us/119829,P0.3 seed batch
10,10,14,2026-09-13T00:00:00Z,new,,no,https://support.apple.com/en-us/119829,P0.3 seed batch
11,11,14,2026-09-13T00:00:00Z,new,,yes,https://search.developer.apple.com/applebot.json,P0.3 seed batch
12,12,14,2026-09-13T00:00:00Z,new,,yes,https://support.apple.com/en-us/119829,P0.3 seed batch
13,13,14,2026-09-13T00:00:00Z,new,,mixed,https://support.apple.com/en-us/119829,P0.3 seed batch
14,14,14,2026-09-13T00:00:00Z,new,,partial,https://support.apple.com/en-us/119829,P0.3 seed batch
15,15,14,2026-09-13T00:00:00Z,new,,yes,https://support.apple.com/en-us/119829,P0.3 seed batch
16,16,14,2026-09-13T00:00:00Z,new,,not_documented,https://support.apple.com/en-us/119829,P0.3 seed batch
17,17,14,2026-09-13T00:00:00Z,new,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4 Safari/605.1.15 (Applebot/0.1; +http://www.apple.com/go/applebot)",https://support.apple.com/en-us/119829,P0.3 seed batch
18,18,14,2026-09-13T00:00:00Z,new,,yes,https://support.apple.com/en-us/119829,P0.3 seed batch
19,19,3,2026-09-13T00:00:00Z,new,,partial,https://developers.openai.com/api/docs/bots,P0.3 seed batch
20,20,3,2026-09-13T00:00:00Z,new,,not_documented,https://developers.openai.com/api/docs/bots,P0.3 seed batch
21,21,3,2026-09-13T00:00:00Z,new,,yes,https://openai.com/chatgpt-user.json,P0.3 seed batch
22,22,3,2026-09-13T00:00:00Z,new,,not_documented,https://developers.openai.com/api/docs/bots,P0.3 seed batch
23,23,3,2026-09-13T00:00:00Z,new,,user_fetch,https://developers.openai.com/api/docs/bots,P0.3 seed batch
24,24,3,2026-09-13T00:00:00Z,new,,not_documented,https://developers.openai.com/api/docs/bots,P0.3 seed batch
25,25,3,2026-09-13T00:00:00Z,new,,not_documented,https://developers.openai.com/api/docs/bots,P0.3 seed batch
26,26,3,2026-09-13T00:00:00Z,new,,not_documented,https://developers.openai.com/api/docs/bots,P0.3 seed batch
27,27,3,2026-09-13T00:00:00Z,new,,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko); compatible; ChatGPT-User/1.0; +https://openai.com/bot",https://developers.openai.com/api/docs/bots,P0.3 seed batch
