date,tool,client_name,calls,avg_latency_ms
2026-09-14,ask,smoke-test,4,134
2026-09-14,identify_user_agent,smoke-test,8,109
2026-09-14,identify_user_agent,unknown,1,115
2026-09-14,list_changes,smoke-test,8,129
2026-09-14,lookup_crawler,smoke-test,14,159
2026-09-14,submit_note,smoke-test,8,378
2026-09-15,ask,unknown,4,187
2026-09-15,list_changes,unknown,3,171
2026-09-17,ask,smoke-test,8,81
2026-09-17,identify_user_agent,smoke-test,16,165
2026-09-17,list_changes,smoke-test,16,167
2026-09-17,lookup_crawler,smoke-test,25,468
2026-09-17,submit_note,smoke-test,20,255
2026-09-18,ask,smoke-test,3,82
2026-09-18,identify_user_agent,smoke-test,6,147
2026-09-18,list_changes,smoke-test,6,188
2026-09-18,lookup_crawler,smoke-test,9,801
2026-09-18,submit_note,smoke-test,6,236
2026-09-18,terminal_execute,unknown,5,0
2026-09-19,__verifymcp_auth_probe_3d0d2b52443f4ac0__,verifymcp-probe,1,0
2026-09-19,ask,smoke-test,2,80
2026-09-19,identify_user_agent,smoke-test,4,139
2026-09-19,list_changes,smoke-test,4,143
2026-09-19,lookup_crawler,smoke-test,6,760
2026-09-19,submit_note,smoke-test,4,193
2026-09-20,__verifymcp_auth_probe_36762d94ea581b50__,verifymcp-probe,1,0
2026-09-20,list_changes,Smithery Connect,1,95
2026-09-20,list_changes,brick.blue,1,163
2026-09-20,list_changes,mcphub-probe,1,159
2026-09-20,list_changes,rokmcp-probe,1,224
2026-09-20,lookup_crawler,sasame-audit,2,96
2026-09-21,__verifymcp_auth_probe_f39856cc99b33355__,verifymcp-probe,1,0
2026-09-21,ask,Smithery Connect,8,178
2026-09-21,list_changes,Smithery Connect,10,120
2026-09-21,list_changes,brick.blue,1,174
2026-09-21,list_changes,rokmcp-probe,1,187
2026-09-21,lookup_crawler,Smithery Connect,18,768
2026-09-21,lookup_crawler,sasame-audit,2,108
2026-09-22,__verifymcp_auth_probe_ea7f8a5121e37ce7__,verifymcp-probe,1,0
2026-09-22,ask,unknown,3,278
2026-09-22,list_changes,brick.blue,1,158
2026-09-22,list_changes,rokmcp-probe,1,209
2026-09-22,list_changes,unknown,6,148
2026-09-22,lookup_crawler,sasame-audit,2,112
2026-09-22,lookup_crawler,unknown,23,684
2026-09-23,__verifymcp_auth_probe_6c89ad7df63c4af2__,verifymcp-probe,1,0
2026-09-23,ask,unknown,1,145
2026-09-23,list_changes,brick.blue,1,166
2026-09-23,list_changes,rokmcp-probe,1,771
2026-09-23,list_changes,unknown,2,113
2026-09-23,lookup_crawler,unknown,17,891
2026-09-24,__verifymcp_auth_probe_0b31434418dc6807__,verifymcp-probe,1,0
2026-09-24,list_changes,brick.blue,1,162
2026-09-24,list_changes,mcp-vouch,1,219
2026-09-24,list_changes,rokmcp-probe,1,186
2026-09-24,lookup_crawler,sasame-audit,2,147
2026-09-25,__verifymcp_auth_probe_33aac644163efb55__,verifymcp-probe,1,0
